Date,Open,High,Low,Close,Volume,Adj Close
2016-02-09,62.220001,66.150002,61.689999,65.629997,1766800,64.834694
2016-02-08,63.360001,64.349998,61.580002,63.060001,1509600,62.295841
2016-02-05,68.480003,69.050003,64.120003,64.559998,1705600,63.777661
2016-02-04,67.110001,69.169998,67.099998,68.910004,1158500,68.074953
2016-02-03,68.300003,68.32,65.589996,67.269997,1256900,66.45482
2016-02-02,69.989998,70.290001,67.82,67.959999,1049300,67.136461
2016-02-01,70.050003,70.940002,69.470001,70.290001,1443800,69.438228
2016-01-29,68.129997,70.400002,67.610001,70.400002,1435700,69.546896
2016-01-28,69.830002,70.029999,67.230003,68.57,1458400,67.73907
2016-01-27,71.459999,72.650002,69.419998,70.019997,1507000,69.171496
2016-01-26,70.150002,71.360001,68.870003,71.330002,1430100,70.465626
2016-01-25,73.029999,73.790001,69.57,69.790001,1701800,68.944287
2016-01-22,74.379997,74.379997,71.800003,72.860001,2125700,71.977084
2016-01-21,68.610001,72.790001,67.849998,72.610001,3660600,71.730114
2016-01-20,66.730003,68.830002,64.18,67.160004,2789800,66.34616
2016-01-19,69.419998,69.739998,66.639999,67.050003,2205100,66.237492
2016-01-15,67.660004,69.849998,66.50,68.730003,2050900,67.897134
2016-01-14,67.330002,69.900002,66.089996,68.75,1496500,67.916889
2016-01-13,71.129997,71.43,67.25,67.660004,1518700,66.840101
2016-01-12,71.160004,71.879997,69.449997,71.040001,1364100,70.179139
2016-01-11,70.660004,71.779999,69.110001,70.669998,1969900,69.81362
2016-01-08,74.889999,74.889999,70.25,70.379997,2723500,69.527134
2016-01-07,76.57,77.190002,72.879997,73.989998,1797200,73.093388
2016-01-06,76.529999,78.25,76.300003,78.199997,1387100,77.252371
2016-01-05,78.400002,79.169998,76.559998,77.089996,1547000,76.155821
2016-01-04,79.160004,79.290001,77.330002,78.400002,1441300,77.449952
2015-12-31,81.00,81.449997,79.800003,80.510002,817500,79.534383
2015-12-30,82.769997,82.769997,81.300003,81.440002,599700,80.453114
2015-12-29,82.550003,83.269997,82.309998,82.769997,614000,81.766991
2015-12-28,82.129997,82.870003,81.029999,82.419998,606400,81.421234
2015-12-24,82.110001,83.419998,82.010002,82.120003,387200,81.124874
2015-12-23,81.599998,82.720001,80.349998,82.160004,906800,81.16439
2015-12-22,81.779999,81.970001,79.620003,81.720001,1399400,80.72972
2015-12-21,80.790001,82.870003,80.790001,82.50,1129500,81.500266
2015-12-18,80.970001,82.290001,79.900002,79.949997,1417100,78.981164
2015-12-17,82.790001,84.25,81.00,81.129997,1050700,80.146865
2015-12-16,82.589996,83.040001,81.00,82.75,1095300,81.747237
2015-12-15,82.580002,82.860001,81.559998,82.129997,1196900,81.134747
2015-12-14,82.989998,83.480003,80.860001,82.150002,1198800,81.154509
2015-12-11,83.50,83.50,81.959999,82.769997,1539900,81.766991
2015-12-10,84.449997,85.50,84.139999,84.360001,1182400,83.337728
2015-12-09,85.150002,86.57,82.940002,83.510002,1578700,82.498029
2015-12-08,85.790001,86.449997,84.190002,85.620003,1650300,84.582461
2015-12-07,86.110001,87.169998,85.440002,86.330002,1782000,85.283856
2015-12-04,81.629997,85.440002,81.50,84.910004,1906900,83.881066
2015-12-03,82.150002,82.639999,80.32,80.550003,1366300,79.5739
2015-12-02,81.760002,83.220001,80.93,81.699997,1238600,80.709958
2015-12-01,79.839996,81.220001,79.660004,81.169998,885400,80.186382
2015-11-30,79.769997,80.370003,79.029999,79.730003,1083200,78.763837
2015-11-27,79.809998,80.610001,79.019997,79.760002,451500,78.793472
2015-11-25,80.010002,80.309998,79.019997,79.610001,669600,78.645288
2015-11-24,79.32,79.910004,77.50,79.599998,1164600,78.635407
2015-11-23,81.949997,82.209999,80.290001,80.410004,1019500,79.435597
2015-11-20,79.589996,81.940002,79.489998,81.860001,1331500,80.868023
2015-11-19,78.519997,79.57,78.43,79.230003,822900,78.269896
2015-11-18,77.559998,78.32,76.599998,78.089996,1070100,77.143703
2015-11-17,77.00,79.389999,76.57,77.540001,1540400,76.600373
2015-11-16,75.379997,76.879997,74.82,76.849998,1281700,75.918732
2015-11-13,76.519997,77.099998,75.809998,75.959999,1054500,75.039517
2015-11-12,77.529999,77.989998,76.620003,76.68,955000,75.553221
2015-11-11,78.889999,78.959999,77.470001,77.57,690000,76.430142
2015-11-10,76.980003,78.599998,76.900002,78.57,964700,77.415447
2015-11-09,78.07,78.120003,76.790001,77.309998,1262200,76.17396
2015-11-06,77.959999,79.00,77.370003,78.080002,699400,76.93265
2015-11-05,77.870003,78.169998,76.849998,78.059998,896200,76.912939
2015-11-04,77.68,77.870003,76.709999,77.410004,1009300,76.272497
2015-11-03,77.800003,77.809998,75.940002,77.68,1379000,76.538526
2015-11-02,76.540001,77.68,76.449997,77.129997,858200,75.996605
2015-10-30,75.779999,77.480003,75.50,76.25,947200,75.129539
2015-10-29,75.169998,76.580002,74.739998,75.769997,923700,74.656589
2015-10-28,78.209999,78.470001,74.470001,75.190002,2020300,74.085118
2015-10-27,79.050003,79.550003,77.010002,77.949997,1364400,76.804555
2015-10-26,78.760002,79.889999,78.330002,79.160004,1373100,77.996781
2015-10-23,76.889999,79.309998,76.889999,79.089996,1687400,77.927803
2015-10-22,76.18,76.949997,74.75,75.970001,1474000,74.853655
2015-10-21,76.43,77.18,74.68,74.730003,1715400,73.631878
2015-10-20,76.849998,77.480003,75.82,76.489998,1269600,75.36601
2015-10-19,75.739998,77.419998,75.440002,76.870003,1401400,75.740431
